instruction,price,side,qty,time
newOrder,17321,0,14246,1685333077
newOrder,19080,1,14246,1685333077
newOrder,12302,0,28611,1685333077
newOrder,24957,1,28611,1685333077
cancel,12302,,,1685333654
cancel,17321,,,1685333654
cancel,19080,,,1685333654
cancel,24957,,,1685333654
newOrder,17321,0,14243,1685333678
newOrder,19080,1,14243,1685333678
newOrder,12302,0,25811,1685333678
newOrder,24957,1,25811,1685333678
cancel,12302,,,1685334255
cancel,17321,,,1685334255
cancel,19080,,,1685334255
cancel,24957,,,1685334255
newOrder,17321,0,14239,1685334281
newOrder,19080,1,14239,1685334281
newOrder,10392,0,64977,1685334281
newOrder,24999,1,64977,1685334281
cancel,10392,,,1685334854
cancel,17321,,,1685334854
cancel,19080,,,1685334854
cancel,24999,,,1685334854
newOrder,17321,0,14235,1685334878
newOrder,19080,1,14235,1685334878
newOrder,10392,0,50244,1685334878
newOrder,24999,1,50244,1685334878
cancel,10392,,,1685335454
cancel,17321,,,1685335454
cancel,19080,,,1685335454
cancel,24999,,,1685335454
newOrder,17321,0,14231,1685335477
newOrder,19080,1,14231,1685335477
newOrder,12302,0,28577,1685335477
newOrder,24957,1,28577,1685335477
cancel,12302,,,1685336054
cancel,17321,,,1685336054
cancel,19080,,,1685336054
cancel,24957,,,1685336054
newOrder,17217,0,13198,1685336078
newOrder,19080,1,13198,1685336078
newOrder,12013,0,33254,1685336078
newOrder,24957,1,33254,1685336078
cancel,12013,,,1685336654
cancel,17217,,,1685336654
cancel,19080,,,1685336654
cancel,24957,,,1685336654
newOrder,17217,0,13193,1685336678
newOrder,19080,1,13193,1685336678
newOrder,12302,0,25515,1685336678
newOrder,24957,1,25515,1685336678
cancel,12302,,,1685337254
cancel,17217,,,1685337254
cancel,19080,,,1685337254
cancel,24957,,,1685337254
newOrder,17217,0,13186,1685337277
newOrder,19080,1,13186,1685337277
newOrder,12301,0,29874,1685337277
newOrder,24957,1,29874,1685337277
cancel,12301,,,1685337855
cancel,17217,,,1685337855
cancel,19080,,,1685337855
cancel,24957,,,1685337855
newOrder,17216,0,13171,1685337878
newOrder,19080,1,13171,1685337878
newOrder,10330,0,45204,1685337878
newOrder,24999,1,45204,1685337878
cancel,10330,,,1685338455
cancel,17216,,,1685338455
cancel,19080,,,1685338455
cancel,24999,,,1685338455
newOrder,17216,0,13166,1685338477
newOrder,19080,1,13166,1685338477
newOrder,10330,0,48875,1685338477
newOrder,24999,1,48875,1685338477
cancel,10330,,,1685339054
cancel,17216,,,1685339054
cancel,19080,,,1685339054
cancel,24999,,,1685339054
newOrder,17216,0,13159,1685339077
newOrder,19080,1,13159,1685339077
newOrder,15101,0,13733,1685339077
newOrder,24957,1,13733,1685339077
cancel,15101,,,1685339654
cancel,17216,,,1685339654
cancel,19080,,,1685339654
cancel,24957,,,1685339654
newOrder,17216,0,13152,1685339677
newOrder,19080,1,13152,1685339677
newOrder,10330,0,60008,1685339677
newOrder,24999,1,60008,1685339677
cancel,10330,,,1685340255
cancel,17216,,,1685340255
cancel,19080,,,1685340255
cancel,24999,,,1685340255
newOrder,17216,0,13145,1685340277
newOrder,19080,1,13145,1685340277
newOrder,10330,0,47215,1685340277
newOrder,24999,1,47215,1685340277
cancel,10330,,,1685340854
cancel,17216,,,1685340854
cancel,19080,,,1685340854
cancel,24999,,,1685340854
newOrder,17216,0,13138,1685340880
newOrder,19080,1,13138,1685340880
newOrder,10329,0,48259,1685340880
newOrder,24999,1,48259,1685340880
